title,artist,added
One Beer (Explicit),MF DOOM,gregadams55
Self Medication (Explicit),"Logic, Seth MacFarlane, Redman, DJ Statik Selektah",jordanhurstspotify
brand new teeth (Explicit),"Samara Cyn, Smino",flaco_kream
LIFES AS VIOLENT AS YOU MAKE IT (Explicit),Sideshow,Stoui
Self Medication (Explicit),"Logic, Seth MacFarlane, Redman, DJ Statik Selektah",jordanhurstspotify
The Wind Cries Mary,Jimi Hendrix,gregadams55
Get Loose (Explicit),"Mr Len, MassInfluence",johnnyrandomwalker
Sucka Nigga (Explicit),A Tribe Called Quest,DooDooStainMcClain
Sick Of Being Lonely (Dirty South Mix) (Explicit),Field Mob,Jamie J
Hot Damn,"Blimes, Method Man",Ann Redg8
Darlin' Mary (Album Version) (Explicit),TQ,Dr Fiddleballs
Still Fly (Explicit),Big Tymers,DooDooStainMcClain
Can I Get A... (Explicit),"JAY Z, Amil, Ja Rule",gregadams55
Program (Explicit),Berner,YaLadyK
Baby (Explicit),"J Dilla, Guilty Simpson, Madlib",flaco_kream
Freak Like Me,Adina Howard,BackDatAshUp
Illusions (Q-Tip Remix) (Explicit),Cypress Hill,DooDooStainMcClain
Gz and Hustlas (Explicit),Snoop Dogg,JFLBridge
Welcome to My Garden (Explicit),"Stove God Cooks, Swizz Beatz",flaco_kream
Cocaine Country Dancing (Electrophunck Remix),Paul Cauthen,jordanhurstspotify
Jewelry Duty (Explicit),"Prof, T-Pain",Dr Fiddleballs
Hot Boy Summer (Explicit),"JUVENILE, B.G., Jacquees, Trombone Shorty",Jamie J
Country Bumpin',Derlee,maltliquorkicker
Southern Girl (Explicit),Lil' 1/2 Dead,Stoui
Vibes (Explicit),"Lil' Flip, Berner, Dr. Za",Dr Fiddleballs
Marijuana (Explicit),Kid Cudi,Dayton
500K (Explicit),"SIR MICHAEL ROCKS, DJ Fresh",flaco_kream
What Means the World to You (Remix) (Explicit),"Cam'ron, UGK (Underground Kingz), Juelz Santana, Trina, Ludacris",Slattery
Geez,Late Night Radio,maltliquorkicker
Dunked On,Froggy Fresh,flaco_kream
Lollipop (Explicit),"Lil Wayne, Static Major",Slattery
Kush (Big Gigantic Remix),"Moody Good, Big Gigantic",jordanhurstspotify
FBC (Explicit),Freddie Gibbs,flaco_kream
Smoke In Da Air (feat. Static Major & Playa) (Explicit),"Timbaland, MAGOO, Static Major, Playa",Dr Fiddleballs
Redbone (Explicit),Childish Gambino,gregadams55
Diamond In The Back (Explicit),Ludacris,DooDooStainMcClain
It Was A Good Day (Explicit),Ice Cube,C-Bone
Granola Jones,The Floozies,maltliquorkicker
Luchini AKA This Is It,Camp Lo,DooDooStainMcClain
Kush (Album Version (Explicit)) (Explicit),Lil Wayne,jordanhurstspotify
RATATAT (Explicit),"PlayThatBoiZay, Denzel Curry, 03 Greedo",Slattery
November Has Come,Gorillaz,gregadams55
LET 'EM KNOW (Explicit),T.I.,Brandon Pyser
Doin' Time,Sublime,gregadams55
So Be It (Explicit),"Clipse, Pusha T, Malice",Brandon Pyser
Big Willie Style (feat. Left Eye),"Will Smith, Left Eye",johnnyrandomwalker
Aston Martin Music (Explicit),Rick Ross,Dayton
Black Mags (Explicit),The Cool Kids,Ann Redg8
Do U Love What U Feel,Brydecisive,BackDatAshUp
My Love (Rework),it's murph,BackDatAshUp
