title,artist,added
How The Boss Will Deliver,"Busta Rhymes, J Dilla",ughead278
Cool Hand (Explicit),"Jeremiah Jae, L'Orange, Chester Watson",jordanhurstspotify
Lock Jaw Feat. S.P.O.,Rubberoom,johnnyrandomwalker
You,Nicole Bus,Carl Boudreau
blessed (Explicit),bex grimes,Dr Fiddleballs
Buddah Lovaz (Explicit),Bone Thugs-N-Harmony,Cali_Sober
Dreams (2004 Remaster),Fleetwood Mac,JFLBridge
My Love (feat. T.I.),"Justin Timberlake, T.I.",JFLBridge
You're the One For Me,"TroyBoi, Destructo, Gary Richards",Eternity2Eternity
Jumpin',Todd Terry,Jamie J.
LA Nights (Explicit),Trap Dickey,jordanhurstspotify
The Way You Move (feat. Sleepy Brown) (Explicit),"Outkast, Sleepy Brown",Ann Redg8
Jolene (Dumplin' Remix),Dolly Parton,maltliquorkicker
The Spins (Explicit),"Mac Miller, Empire Of The Sun",Cali_Sober
Kiss From A Rose,"Green Velvet, Marco Lys, Walter Phillips",Eternity2Eternity
Rock the Casbah (Remastered),The Clash,Eternity2Eternity
Shooters (Explicit),Tory Lanez,C-Bone
FiGHT FOR YOUR RiGHT,Yookie,Eternity2Eternity
Rollout (My Business) (Explicit),Ludacris,JFLBridge
Jungle (Rico Nasty Remix) (Explicit),Fred again..,Eternity2Eternity
Crosseyed and Painless,Talking Heads,Cynsaytional
The JAWN,Jerri,Dr Fiddleballs
Ghetto Love Story (Explicit),BabyChiefDoit,Jamie J.
Drop Top (feat. Travis Porter) (Explicit),"Flosstradamus, Travis Porter",johnnyrandomwalker
The Buzz,"Hermitude, Mataya, Young Tapz",Eternity2Eternity
Cinderella (feat. Ty Dolla $ign) (Explicit),"Mac Miller, Ty Dolla $ign",YaLadyK
Wasting Time (feat. Anderson .Paak) (Explicit),"Juicy J, Project Pat, Anderson .Paak",Dr Fiddleballs
Fool's Mate (Explicit),38 Spesh,C-Bone
GUCCI (Explicit),"Bree Runway, Maliibu Miitch",coffeecurls84
Trip Around Saturn,Little Stranger,jordanhurstspotify
Aint No Sunshine,Kidkayd3,maltliquorkicker
Lookin Boy (feat. Yung Joc) (Main Version - Clean),"Hot Stylz, Yung Joc",Jamie J.
Make It Rain (Explicit),"Lil Wayne, Fat Joe",Slattery
Collard Greens (Explicit),"ScHoolboy Q, Kendrick Lamar",Cali_Sober
Soundclash,"Flosstradamus, TroyBoi",Cali_Sober
Make That Cake (feat. Doja Cat),Lunchmoney Lewis,coffeecurls84
Preach (Explicit),Young Dolph,johnnyrandomwalker
Let Me Through (feat. Poison Ivi & Snug) (Explicit),"Boosie Badazz, Poison Ivi, Snug",Ktz
What I Can Do (Savej Remix),"Saturna, CØNTRA",CMac
Thick (feat. 2 Chainz) (Explicit),"O.T. Genasis, 2 Chainz",paiger
"Return of the ""G"" (Explicit)",Outkast,C-Bone
Feel Good (Explicit),Chip tha Ripper,JFLBridge
No Disrespect,"Mr. Green, DJ Kool Herc",johnnyrandomwalker
The Time Has Come,Pretty Lights,johnnyrandomwalker
Rosa Parks (Explicit),Outkast,Slattery
Bring The Pain (Explicit),Method Man,Ann Redg8
Wisdom Pie,Karmic,jordanhurstspotify
muse (Explicit),Mark Lux,Ktz
Shoe Fits (Explicit),Tash,RateWonder
"Iko Iko (From ""Rain Man"")",The Belle Stars,paiger
9 to 5,Dolly Parton,JFLBridge
Golden Years (2016 Remaster),David Bowie,Cynsaytional
Girls @ (feat. Chance the Rapper),"Joey Purp, Chance the Rapper",Ann Redg8
Sweet Transvestite,"Tim Curry, The Rocky Horror Picture Show",maltliquorkicker
Da Funk,Daft Punk,raclij
Give It To Me (Explicit),"Timbaland, Justin Timberlake, Nelly Furtado",johnnyrandomwalker
Humble (Explicit),"Tropidelic, The Palmer Squares",Ann Redg8
Wind Of Change,Scorpions,maltliquorkicker
Crazy Rap (Colt 45 & 2 Zig Zags) (Explicit),Afroman,Ann Redg8
Connect Four (Explicit),The Cool Kids,johnnyrandomwalker
Micky D'z,Fly Boi Keno,NES Jumpman
HOOPLA,Quinn XCII,Ann Redg8
Ain't No Half-Steppin',Big Daddy Kane,JFLBridge
Who Knew (Explicit),Eminem,Eternity2Eternity
Scenario (LP Mix),A Tribe Called Quest,Carl Boudreau
Play It Cool,Norman Sann,Slattery
Unbelievable Funk (Explicit),Notorious James Brown,jordanhurstspotify
Boasty,"Wiley, Stefflon Don, Sean Paul, Idris Elba",Carl Boudreau
Tukaria,Cochemea,CMac
So Cool,Big K.R.I.T.,jordanhurstspotify
25 Bucks (feat. Purity Ring) (Explicit),"Danny Brown, Purity Ring",slimjim80889
Body Move (Ying Yang Twins Remix) (Explicit),"Dizzy Fae, Ying Yang Twins",coffeecurls84
Ridin’ Round (Explicit),Kali Uchis,coffeecurls84
How Bout Now (Explicit),Drake,coffeecurls84
Attention is a Drug (Remix) (Explicit),"Tash, Sway & King Tech, King Tee, Defari, Tha Alkaholiks, Xzibit, Will.i.am, Q-Tip, Daru Jones",NES Jumpman
Story (Explicit),Odie,Ktz
Kant Nobody (Explicit),"Lil Wayne, DMX",Slattery
Modelo Cans (Explicit),"Wax, Herbal T",Slattery
MOOO! (Explicit),Doja Cat,Slattery
Forever (Explicit),"Big L, Mac Miller, Pale Jay",CMac
Smoke It If You Got One (Explicit),"King Chip, Asher Roth",CMac
Smoke That,"Griz, ProbCause, Jaye Prime",YaLadyK
The Sweetest,Nightmares on Wax,CMac
SWAGGA,Richard Carter,Dr Fiddleballs
Top Billin (Acapella),Audio Two,johnnyrandomwalker
A Million And One Questions (The Premier Remix) (Explicit),JAŸ-Z,JFLBridge
Sittin' On Chrome (Explicit),Masta Ace Incorporated,Chuck DanTana
Talk Ya Shit (Explicit),"Busta Rhymes, J Dilla, Lil Wayne",CMac
GONE FISHING (Explicit),"Denzel Curry, Kenny Beats",JFLBridge
"Bounce, Rock, Roll, Skate",Ilajide,Carl Boudreau
Bad Intentions (Explicit),"Marley B., Grieves, DJ Hoppa",Ann Redg8
Strut,"Steven Seagal, Lady Saw",Chuck DanTana
Sumn Ain't Right (Explicit),"E-40, Juvenile",Slattery
Is It Kool? (Explicit),Luniz,flaco_kream
Intro,The xx,CMac
Islands In the Stream,"Dolly Parton, Kenny Rogers",paiger
