title,artist,added
There It Go (The Whistle Song) (Explicit),Juelz Santana,Dayton
RNP (feat. Anderson .Paak) (Explicit),"Cordae, Anderson .Paak",jordanhurstspotify
Make Some Noise (Explicit),Beastie Boys,Ann Redg8
Hands Up (Explicit),"TRDMRK, DJ Nu-Mark, Austin Antoine, Slimkid 3",maltliquorkicker
Strap On The Side,Spice 1,Noah Schak
"The P***y Medley (feat. Snoop Dogg, Nate Dogg, AMG, 2nd II None, Hi-C & El DeBarge) (Street Version) (Explicit)",DJ Quik,Mercules14
Santos Party House (Extended Version) (Explicit),"Smoke DZA, Curren$y, Girl Talk, Wiz Khalifa, Big K.R.I.T.",Dr Fiddleballs
DOPE BOYS ACADEMY (Explicit),"T.I., T-Pain, Jeezy, 2 Chainz",Dr Fiddleballs
Get Low,"Dillon Francis, DJ Snake",Slattery
Area Codes (Explicit),"Ludacris, Nate Dogg",Ann Redg8
"When I Get My Check ($, $, $) (Explicit)","Lyrics Born, Chali 2na, The Gift Of Gab, Joyo Velarde",jordanhurstspotify
SILVER TOOTH. (Explicit),"Armani White, A$AP Ferg",coffeecurls84
Get A Job,Slick Rick,Dayton
Jackin' For Beats (Explicit),Ice Cube,jose
I Got Friends,Warmduscher,Marcus McBride
Mi Gente,"J Balvin, Willy William",johnnyrandomwalker
Billie Jean (Explicit),G Perico,YaLadyK
Ever Since U Left Me (I Went Deaf) (Explicit),"French Montana, Max B",Eternity2Eternity
Man Of The Year (Explicit),ScHoolboy Q,maltliquorkicker
Ms. Jackson,Party Pupils,Eternity2Eternity
Wannabe,Spice Girls,LittleSgtPepper
She's a Bitch (Explicit),Missy Elliott,johnnyrandomwalker
4EVA (Explicit),"KAYTRAMINÉ, Aminé, KAYTRANADA, Pharrell Williams",Cali_Sober
Song For Junior (Remastered 2009),Beastie Boys,Cynsaytional
"Big Guy (from ""The SpongeBob Movie: Search for SquarePants”)",Ice Spice,jose
M'$ (feat. Lil Wayne) (Explicit),"A$AP Rocky, Lil Wayne",jordanhurstspotify
The Box (Explicit),Roddy Ricch,Cynsaytional
Music Sounds Better with You,NEIL FRANCES,Eternity2Eternity
RUBBERZ,"Fenix Flexin, Purps On The Beat",coffeecurls84
Everybody,Madonna,Dayton
Lavender (Explicit),"Disclosure, Channel Tres",Cali_Sober
Queso (Explicit),Pell,jordanhurstspotify
LET 'EM KNOW (Explicit),T.I.,flaco_kream
Just a Friend,Biz Markie,Ann Redg8
Orange,"Ivy Lab, Two Fingers, Amon Tobin",Marcus McBride
Started From the Bottom (Explicit),Drake,johnnyrandomwalker
Kids (Explicit),Rich Brian,Dayton
We Gonna Make It (Explicit),"Jadakiss, Styles P",Noah Schak
The Return (Explicit),"Living Legends, Statik Selektah, Del Tha Funkee Homosapien",Dr Fiddleballs
One Million Dollars,King Green,jordanhurstspotify
Shake Something (Explicit),"Louis The Child, Joey Purp",Cali_Sober
We Don't Give A F***,DMX,Cali_Sober
Rabbit Mode (Explicit),Freddie Gibbs,Slattery
Brrrr (Explicit),"Prof, E-40",Dr Fiddleballs
"Ice Water (From ""Camp Snoopy"")","Mayer Hawthorne, Peanuts",Dr Fiddleballs
Victory Lap (HIM) (Explicit),"Fat Joe, Yung Miami, Jadakiss",flaco_kream
Get Down (Explicit),Nas,Noah Schak
HOOLIGANG,Joey Valence & Brae,johnnyrandomwalker
Come Down (Explicit),Anderson .Paak,Slattery
HeadBand (feat. 2 Chainz) (Explicit),"B.o.B, 2 Chainz",Ann Redg8
Hit That Jive,Gramatik,jordanhurstspotify
All Gold Everything (Album Version (Explicit)) (Explicit),Trinidad James,maltliquorkicker
Speak Ya Clout (Explicit),"Gang Starr, Lil' Dap, Jeru The Damaja",ughead278
Nobody Speak Part 2 (Explicit),"DJ Shadow, Run The Jewels, Denzel Curry, TiaCorine",Dr Fiddleballs
FLY (Explicit),"Quavo, Lenny Kravitz",YaLadyK
BIA BIA (feat. Lil Jon) (Explicit),"BIA, Lil Jon",coffeecurls84
Truth Hurts (Explicit),Lizzo,johnnyrandomwalker
Are We Faded,Keys N Krates,Cali_Sober
Disparate Youth,Santigold,Cynsaytional
SPANK!,Hitech,Jamie J.
I Need $,Afroman,jordanhurstspotify
What I Can Do,"CØNTRA, Saturna",CMac
Take me out with the Crossfader,DJ Fong Fong,maltliquorkicker
Friend Do Remix (feat. YKNIECE) (Explicit),"Belly Gang Kushington, YKNIECE",jose
La La Land,"Green Velvet, MEDUZA, Genesi, Essentia",Eternity2Eternity
Busy Child,The Crystal Method,Marcus McBride
I Feel Love,"Mr. Belt & Wezol, Bendah, Limited Life",Eternity2Eternity
California Dreamin',"Chris Lorenzo, High Jinx",Eternity2Eternity
Sinner (Explicit),Samara Cyn,CMac
Flawless (Explicit),Cashinova,Dr Fiddleballs
In This Bih',"Chris Lorenzo, Kah-Lo",Dr Fiddleballs
We Dem Boyz (Explicit),Wiz Khalifa,maltliquorkicker
Let Me See Ya (Work It) (Explicit),Nate Band,YaLadyK
Double Dutch,Keys N Krates,Cali_Sober
O.G,TroyBoi,Cali_Sober
Bodies (Explicit),"Offset, JID",YaLadyK
Walkin (Explicit),Denzel Curry,Dayton
Dust (Explicit),Drake,Dayton
Pull Over (Explicit),Ludacris,Dayton
Kin (I’m Outside) (Explicit),"Prof, Pete & Bas, Jonray",Dr Fiddleballs
Real Good,Kwazi,Ann Redg8
JU$T,"Zack De La Rocha, Run The Jewels, Pharrell Williams",jordanhurstspotify
