title,artist,added
Let's Go!,Alumni Cloud,Ann Redg8
For The Gig (Explicit),"DJ Premier, The Alchemist",Dr Fiddleballs
Grand Finale (Explicit),"DMX, Ja Rule, Method Man, Nas",jose
Watch Out Now (Explicit),The Beatnuts,Cali_Sober
Party And Bullshit (Explicit),The Notorious B.I.G.,Ann Redg8
Area Codes (Explicit),"Ludacris, Nate Dogg",raclij
Set Adrift On Memory Bliss,P.M. Dawn,jordanhurstspotify
Street Talkin' (Explicit),"Slick Rick, Outkast",Dayton
N 2 Gether Now (Explicit),"Limp Bizkit, Method Man",raclij
Time 4 Sumaksion (Explicit),Redman,JFLBridge
You,"Lucy Pearl, Snoop Dogg, Q-Tip",Cynsaytional
She Knows Too Much (Explicit),"Thundercat, Mac Miller",Ann Redg8
Real Big (Explicit),Ant Wave,KatalystJess
"Ooh Wee (feat. Ghostface Killah, Nate Dogg, Trife & Saigon) (Explicit)","Mark Ronson, Ghostface Killah, Nate Dogg, Trife, Saigon",Ann Redg8
Ever Since U Left Me (I Went Deaf) (Explicit),"French Montana, Max B",Cynsaytional
HOES (feat. Sexyy Red) [From Scary Movie] (Explicit),"Lizzo, Sexyy Red",KatalystJess
Knock Knock (Explicit),Mac Miller,Ann Redg8
Stand on the Word (1982 Version),The Joubert Singers,jordanhurstspotify
I Ain't Finished Yet!,"DJ Magic Mike, The Royal Posse",Marcus McBride
Bustin’ Out,"GRiZ, Bootsy Collins",jordanhurstspotify
HOES DEPRESSED (Explicit),THOT SQUAD,Stacy
Keep It Going Now (Hardcore Remix),"Rob Base, DJ EZ Rock",Marcus McBride
It Takes Two,"Rob Base, DJ EZ Rock",Dr Fiddleballs
New Sensation,INXS,Cynsaytional
Bet it All (Explicit),"French Montana, Max B, Chase Belly",Marcus McBride
"(Shake, Shake, Shake) Shake Your Booty",KC & The Sunshine Band,johnnyrandomwalker
Luh You (Explicit),Anderson .Paak,Cynsaytional
Shabang (Explicit),Drake,Dayton
QUEEN (Explicit),"Fat Nwigwe, Tobe Nwigwe",Dr Fiddleballs
DON'T WORRY BABE / I GOT U BABE,KAYTRANADA,Jamie J.
Devil in Me,"Purple Disco Machine, Joe Killington, Duane Harden",CMac
Faces (feat. Lucky Daye) (Explicit),"Buddy, Lucky Daye",C-Bone
One In A Million,Aaliyah,Javell
Sk8 (Explicit),JID,Javell
Venom (Explicit),Little Simz,KatalystJess
